编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
238,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao静宇小店373"，"点我对话"),静宇小店373,金牌卖家英姐,,,,,https://shop259725630.taobao.com,,,562.30,广州,马丁靴女,,4.3375分,-10.13%,4.55分,-6.26%,4.675分,-3.70%,,,,,,,,,,
239,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao柠檬绿茶2017123"，"点我对话"),柠檬绿茶2017123,七色糖果精品店,,,,,https://shop369087973.taobao.com,,,0,广州,马丁靴女,,4.58537分,-6.15%,4.64634分,-5.18%,4.71951分,-3.64%,,,,,,,,,,
240,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao翔一起飞88"，"点我对话"),翔一起飞88,秀美之家,,,,,https://shop106162960.taobao.com,,,1444.68,广州,马丁靴女,,4.66953分,-2.62%,4.72532分,-2.28%,4.70815分,-2.76%,,,,,,,,,,
241,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao想入飞飞钱多多"，"点我对话"),想入飞飞钱多多,钱多多百货商贸,,,,,https://shop366079215.taobao.com,,,541.99,广州,马丁靴女,,4.60553分,-4.32%,4.66834分,-3.64%,4.70603分,-2.96%,,,,,,,,,,
242,,二心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小呆萌十妹"，"点我对话"),小呆萌十妹,品牌萨古奇DZD008,,,,,https://shop392617074.taobao.com,,,0.00,广州,马丁靴女,,,,,,,,,,,,,,,,,
243,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowulii琪琪"，"点我对话"),wulii琪琪,琪琪的小⑤,,,,,https://shop561453437.taobao.com,,,720.40,广州,马丁靴女,,4.6875分,-2.61%,4.79167分,-1.09%,4.75分,-2.05%,,,,,,,,,,
244,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao锦绣前程dao"，"点我对话"),锦绣前程dao,u[3409880354],,,,,https://shop400054245.taobao.com,,,364.18,广州,马丁靴女,,4.54321分,-5.61%,4.53086分,-6.48%,4.55556分,-6.06%,,,,,,,,,,
245,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾米妮aimini"，"点我对话"),艾米妮aimini,杰琳塔夫外贸女鞋定制,,,,,https://shop101176889.taobao.com,,,7601.00,广州,马丁靴女,,4.78125分,0.29%,4.86458分,17.68%,4.86458分,14.34%,,,,,,,,,,
246,广州米子恩贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao璧宛旗舰店"，"点我对话"),璧宛旗舰店,璧宛旗舰店,,,,,https://shop172031954.taobao.com,,,11656.40,广州,马丁靴女,,4.94595分,57.50%,4.7027分,2.66%,4.72973分,2.29%,,,,,,,,,,
247,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱之奉献英雄"，"点我对话"),爱之奉献英雄,手工定制 精品鞋店,,,,,https://shop57984368.taobao.com,,,832.00,广州,马丁靴女,,4.82609分,15.17%,4.82609分,0.19%,4.82609分,0.33%,,,,,,,,,,
248,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxiaoqiu13410"，"点我对话"),xiaoqiu13410,吴小姐的淘铺铺,,,,,https://shop113393239.taobao.com,,,2357.56,广州,马丁靴女,,4.6391分,-3.25%,4.7218分,-2.35%,4.74436分,-2.01%,,,,,,,,,,
249,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocyjcy2"，"点我对话"),cyjcy2,C家生活小铺,,,,,https://shop120672198.taobao.com,,,2334.16,广州,马丁靴女,,4.30102分,-10.30%,4.40306分,-8.95%,4.5分,-7.06%,,,,,,,,,,
250,东莞市诗莲电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao茜娅兰旗舰店"，"点我对话"),茜娅兰旗舰店,茜娅兰旗舰店,,,,,https://shop239430474.taobao.com,,,327568.00,广州,马丁靴女,,4.95078分,61.30%,4.94844分,69.42%,4.95156分,69.65%,,,,,,,,,,
251,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb_hxp"，"点我对话"),tb_hxp,马夫人精品,,,,,https://shop104926354.taobao.com,,,441.95,广州,马丁靴女,,4.63934分,-3.25%,4.71311分,-2.53%,4.63934分,-4.18%,,,,,,,,,,
252,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沙漠里的鱼lyz"，"点我对话"),沙漠里的鱼lyz,雪花铺子,,,,,https://shop537160073.taobao.com,,,21.88,广州,马丁靴女,,3.0分,-37.67%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
253,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao思思优品1"，"点我对话"),思思优品1,思思优品,,,,,https://shop373432609.taobao.com,,,1260.60,广州,马丁靴女,,4.54286,-5.60%,4.65714,-3.86%,4.65714分,-4.03%,,,,,,,,,,
254,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宣得电子企业店"，"点我对话"),宣得电子企业店,宣得电子企业店,,,,,https://shop324678846.taobao.com,,,3345.00,广州,马丁靴女,,4.72441,-1.83%,4.74016,-2.15%,4.71654分,-2.81%,,,,,,,,,,
255,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao谭玉苗21702"，"点我对话"),谭玉苗21702,哈喽生活美,,,,,https://shop71654423.taobao.com,,,1456.40,广州,马丁靴女,,4.73725分,-1.20%,4.74118分,-1.95%,4.74118分,-2.08%,,,,,,,,,,
256,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao永贞瑞商贸部"，"点我对话"),永贞瑞商贸部,d[s335795423],,,,,https://shop335795423.taobao.com,,,911.64,广州,马丁靴女,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
257,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯萨罗帝直营店"，"点我对话"),凯萨罗帝直营店,凯萨罗帝官方店,,,,,https://shop63083046.taobao.com,,,0,广州,马丁靴女,,,,,,,,,,,,,,,,,
258,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb760796528"，"点我对话"),tb760796528,海王的商行,,,,,https://shop390893306.taobao.com,,,381.20,广州,马丁靴女,,4.91304,57.58%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
259,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao格熙图"，"点我对话"),格熙图,gotoUGG,,,,,https://shop100075726.taobao.com,,,0.00,广州,马丁靴女,,,,,,,,,,,,,,,,,
260,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao始终浪漫94"，"点我对话"),始终浪漫94,EMAYO,,,,,https://shop358189896.taobao.com,,,478.88,广州,马丁靴女,,4.6383,-3.62%,4.56522,-5.76%,4.56522分,-5.93%,,,,,,,,,,
261,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosmt198301"，"点我对话"),smt198301,海浪ss,,,,,https://shop229376424.taobao.com,,,1055.00,广州,马丁靴女,,4.82143,4.81%,4.67857,-3.42%,4.80357分,-1.01%,,,,,,,,,,
262,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao广州秀秀有限公司"，"点我对话"),广州秀秀有限公司,秀秀官方店,,,,,https://shop178190200.taobao.com,,,621.62,广州,马丁靴女,,4.56909,-4.71%,4.66182,-3.59%,4.71455分,-2.63%,,,,,,,,,,
263,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao啊啊百货"，"点我对话"),啊啊百货,d[s380062423],,,,,https://shop380062423.taobao.com,,,950.68,广州,马丁靴女,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
264,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao王氏家居卫浴馆"，"点我对话"),王氏家居卫浴馆,时尚真皮工厂女鞋,,,,,https://shop452593334.taobao.com,,,1155.30,广州,马丁靴女,,4.33333,-9.63%,4.05556,-16.13%,4.33333分,-10.50%,,,,,,,,,,
265,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao名表之家达人"，"点我对话"),名表之家达人,宁耐克思323号,,,,,https://shop382894721.taobao.com,,,0.00,广州,马丁靴女,,3.66667,-23.53%,3.93333,-18.66%,3.93333分,-18.76%,,,,,,,,,,
266,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao维西商贸部"，"点我对话"),维西商贸部,维西商贸部,,,,,https://shop452779926.taobao.com,,,388.60,广州,马丁靴女,,4.4,-8.57%,4.8,-0.91%,4.93333分,54.71%,,,,,,,,,,
267,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao创新科技8868"，"点我对话"),创新科技8868,创新科技88985,,,,,https://shop502478460.taobao.com,,,3142.84,广州,马丁靴女,,4.64516,-3.13%,4.6129,-4.61%,4.64516分,-4.07%,,,,,,,,,,
268,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao原创工作室潮流"，"点我对话"),原创工作室潮流,原创工作室潮流,,,,,https://shop259877133.taobao.com,,,833.20,广州,马丁靴女,,3.72414,-22.33%,4.31034,-10.86%,4.31034分,-10.98%,,,,,,,,,,
269,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomasujun0001"，"点我对话"),masujun0001,d[s452447174],,,,,https://shop452447174.taobao.com,,,1053.00,广州,马丁靴女,,4.71429,-2.04%,4.71429,-2.68%,4.85714分,2.95%,,,,,,,,,,
270,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梓美电子商务有限公司"，"点我对话"),梓美电子商务有限公司,男女鞋频道官方店,,,,,https://shop324078218.taobao.com,,,0,广州,马丁靴女,,4.90476,53.54%,4.97619,85.53%,4.97619分,84.94%,,,,,,,,,,
271,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao克洛伊伊2018"，"点我对话"),克洛伊伊2018,u[4041765136],,,,,https://shop571419016.taobao.com,,,530.25,广州,马丁靴女,,4.57692,-4.55%,4.63846,-4.07%,4.65385分,-3.88%,,,,,,,,,,
272,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao勇行企业"，"点我对话"),勇行企业,勇行企业,,,,,https://shop490216421.taobao.com,,,1835.96,广州,马丁靴女,,4.73572,-3.07%,4.73572,-3.35%,4.77896分,-2.43%,,,,,,,,,,
273,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao八海企业店"，"点我对话"),八海企业店,八海企业店,,,,,https://shop214682305.taobao.com,,,1157.92,广州,马丁靴女,,4.61702,-4.06%,4.70213,-2.93%,4.70213分,-3.10%,,,,,,,,,,
274,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao潮前女鞋店"，"点我对话"),潮前女鞋店,工厂连锁店,,,,,https://shop127286858.taobao.com,,,761.23,广州,马丁靴女,,4.64167分,-4.99%,4.64167分,-5.27%,4.69167分,-4.21%,,,,,,,,,,
275,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao乌海兵大"，"点我对话"),乌海兵大,银河国际品牌店,,,,,https://shop438437853.taobao.com,,,119939.00,广州,马丁靴女,,4.93548分,68.53%,4.92473分,54.24%,4.93548分,59.19%,,,,,,,,,,
276,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb166414583"，"点我对话"),tb166414583,LILI猫的鞋柜,null,,,,https://shop106405860.taobao.com,,,2760.00,广州,马丁靴女,,4.83333分,18.65%,4.83333分,0.10%,4.86667分,15.59%,,,,,,,,,,
277,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohoya426"，"点我对话"),hoya426,阳光淘衣坊,,,,,https://shop66761766.taobao.com,,,761.40,广州,马丁靴女,,4.65948分,-2.83%,4.70259分,-2.75%,4.69828分,-2.97%,,,,,,,,,,
278,,二心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb009071492"，"点我对话"),tb009071492,居家放心生活馆,,,,,https://shop446757488.taobao.com,,,1457.85,广州,马丁靴女,,4.82353,13.92%,4.82353,0.25%,4.76471分,-1.59%,,,,,,,,,,
279,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美花香百货"，"点我对话"),美花香百货,美花香百货,,,,,https://shop433294240.taobao.com,,,382.80,广州,马丁靴女,,4.5,-6.15%,4.5,-6.94%,4.5分,-7.06%,,,,,,,,,,
280,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美丽从脚下开始88"，"点我对话"),美丽从脚下开始88,时尚娜娜鞋坊,13051620780,,,,https://shop105554600.taobao.com,,,4404.00,广州,马丁靴女,,4.85263分,28.12%,4.84211分,4.02%,4.84211分,0.13%,,,,,,,,,,
281,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao树影子扬"，"点我对话"),树影子扬,d[s62193353],,,,,https://shop62193353.taobao.com,,,3160.00,广州,马丁靴女,,4.81851分,0.16%,4.83303分,0.43%,4.85844分,2.54%,,,,,,,,,,
282,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao贺林2027"，"点我对话"),贺林2027,鹤林企业店,,,,,https://shop506113549.taobao.com,,,1814.40,广州,马丁靴女,,4.56944,-4.70%,4.65972,-3.64%,4.72917分,-2.33%,,,,,,,,,,
283,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozjy0735"，"点我对话"),zjy0735,Camel骆驼国际品牌店,,,,,https://shop67366746.taobao.com,,,0,广州,马丁靴女,,4.63158分,-3.41%,4.68421分,-3.13%,4.68421分,-3.26%,,,,,,,,,,
284,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小苹果商城折扣店"，"点我对话"),小苹果商城折扣店,小苹果商城折扣店,,,,,https://shop363139487.taobao.com,,,7741.97,广州,马丁靴女,,4.5,-6.76%,4.5,-7.29%,4.6分,-5.25%,,,,,,,,,,
285,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博虎软件有限公司"，"点我对话"),博虎软件有限公司,JORSINA卓诗娜箱包品牌店,,,,,https://shop112585660.taobao.com,,,2752.90,广州,马丁靴女,,4.8,2.44%,4.85,8.81%,4.9分,36.74%,,,,,,,,,,
286,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao黄顺顺百货"，"点我对话"),黄顺顺百货,黄顺顺百货,,,,,https://shop407488596.taobao.com,,,40.30,广州,马丁靴女,,4.5,-6.76%,4.5,-7.29%,4.5分,-7.31%,,,,,,,,,,
287,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopq彭小强"，"点我对话"),pq彭小强,Minitonka,,,,,https://shop102718880.taobao.com,,,1465.58,广州,马丁靴女,,4.48148分,-6.89%,4.5分,-7.11%,4.62037分,-4.73%,,,,,,,,,,
288,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoylof1314"，"点我对话"),ylof1314,十月和小六,,,,,https://shop64231352.taobao.com,,,539.29,广州,马丁靴女,,4.60606分,-4.29%,4.75758分,-1.79%,4.84848分,0.10%,,,,,,,,,,
289,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao军军向荣哩"，"点我对话"),军军向荣哩,军军家的小店铺,,,,,https://shop275449343.taobao.com,,,480.20,广州,马丁靴女,,4.45333分,-7.13%,4.46667分,-7.63%,4.58667分,-5.27%,,,,,,,,,,
290,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao哮天犬宠物用品521"，"点我对话"),哮天犬宠物用品521,啸天厂家直销,,,,,https://shop392919379.taobao.com,,,2784.42,广州,马丁靴女,,4.53459,-5.79%,4.60377,-4.97%,4.69811分,-3.12%,,,,,,,,,,
291,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao思索百货"，"点我对话"),思索百货,思索百货,,,,,https://shop213903400.taobao.com,,,324.60,广州,马丁靴女,,4.41667,-7.89%,3.83333,-20.73%,3.83333分,-20.83%,,,,,,,,,,
292,北京中韬亿港商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中韬亿港鞋类专营店"，"点我对话"),中韬亿港鞋类专营店,中韬亿港鞋类专营店,010-87249166,,,,https://shop105400449.taobao.com,,,881858.00,深圳,马丁靴女,,4.52381分,7.16%,4.90476分,43.51%,4.71429分,2.61%,,,,,,,,,,
293,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb_2013433"，"点我对话"),tb_2013433,菲菲鞋包直销,,,,,https://shop104845729.taobao.com,,,1590.55,深圳,马丁靴女,,4.77419分,0.43%,4.70968分,-2.60%,4.76344分,-1.62%,,,,,,,,,,
294,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao千红百货企业店"，"点我对话"),千红百货企业店,千红百货企业店,,,,,https://shop349903612.taobao.com,,,1197.65,深圳,马丁靴女,,4.83333,18.70%,4.9,39.21%,4.9分,36.74%,,,,,,,,,,
295,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoa147ja"，"点我对话"),a147ja,瑞丽喜铺,,,,,https://shop111938265.taobao.com,,,605.00,深圳,马丁靴女,,4.26667分,-11.02%,4.46667分,-7.63%,4.66667分,-3.62%,,,,,,,,,,
296,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb_3655061"，"点我对话"),tb_3655061,洋胜百货店,,,,,https://shop159627955.taobao.com,,,224.73,深圳,马丁靴女,,4.94545分,52.32%,4.98182分,81.85%,4.98182分,82.22%,,,,,,,,,,
297,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao那时花开5677"，"点我对话"),那时花开5677,烟雨如诗服饰箱包,,,,,https://shop201211543.taobao.com,,,915.00,深圳,马丁靴女,,4.83333,18.70%,4.83333,0.10%,4.9分,36.74%,,,,,,,,,,
298,,二心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao最美精品外贸"，"点我对话"),最美精品外贸,最美精品外贸,,,,,https://shop581141560.taobao.com,,,1060.77,深圳,马丁靴女,,,,,,,,,,,,,,,,,
299,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaonewgar88"，"点我对话"),newgar88,细雨生活用品店,,,,,https://shop33291311.taobao.com,,,0,深圳,马丁靴女,,4.65821分,-3.22%,4.69138分,-3.16%,4.73695分,-2.32%,,,,,,,,,,
300,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoljh020819"，"点我对话"),ljh020819,古奇天伦百年莱卡折扣,,,,,https://shop34620430.taobao.com,,,1314.00,深圳,马丁靴女,,4.86957分,36.38%,4.93478分,60.35%,4.82609分,0.33%,,,,,,,,,,
301,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogzlive_k"，"点我对话"),gzlive_k,云云之小店,,,,,https://shop445740506.taobao.com,,,1600.00,深圳,马丁靴女,,4.52分,-5.73%,4.63111分,-4.23%,4.63556分,-4.26%,,,,,,,,,,
302,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小芳52150"，"点我对话"),小芳52150,d[s282973270],,,,,https://shop282973270.taobao.com,,,748.97,深圳,马丁靴女,,4.38776分,-8.49%,4.22449分,-12.64%,4.34694分,-10.22%,,,,,,,,,,
303,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao祁东县俊杰建材店"，"点我对话"),祁东县俊杰建材店,u[4149676913],,,,,https://shop198835267.taobao.com,,,960.00,深圳,马丁靴女,,4.48387,-6.83%,4.58065,-5.44%,4.58065分,-5.61%,,,,,,,,,,
304,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中邮鞋城"，"点我对话"),中邮鞋城,百年纪念专柜折扣店,,,,,https://shop34533963.taobao.com,,,4884.00,深圳,马丁靴女,,4.90441分,53.37%,4.89706分,37.42%,4.85294分,6.98%,,,,,,,,,,
305,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao魅力升百货"，"点我对话"),魅力升百货,u[4196892795],,,,,https://shop453569267.taobao.com,,,657.60,深圳,马丁靴女,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
306,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaol23iu456"，"点我对话"),l23iu456,黛洛琳,,,,,https://shop69640325.taobao.com,,,3184.00,深圳,马丁靴女,,4.78571分,0.19%,4.83929分,2.30%,4.91071分,43.52%,,,,,,,,,,
307,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丽豪丁丁"，"点我对话"),丽豪丁丁,u[4240624675],,,,,https://shop513368586.taobao.com,,,642.88,深圳,马丁靴女,,4.68889,-2.21%,4.75556,-1.65%,4.86667分,15.66%,,,,,,,,,,
308,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao酷酷猫9305"，"点我对话"),酷酷猫9305,u[2864437254],,,,,https://shop271318773.taobao.com,,,224.82,深圳,马丁靴女,,4.5分,-6.49%,4.54054分,-6.27%,4.63514分,-4.49%,,,,,,,,,,
309,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao昊影商贸城"，"点我对话"),昊影商贸城,昊影商贸城,,,,,https://shop177813286.taobao.com,,,952.00,深圳,马丁靴女,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
310,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao精品购物馆1"，"点我对话"),精品购物馆1,精品时尚屋1,,,,,https://shop63503670.taobao.com,,,1181.00,深圳,马丁靴女,,4.80952分,7.09%,4.89286分,34.87%,4.92857分,54.82%,,,,,,,,,,
311,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao超能造梦购物城"，"点我对话"),超能造梦购物城,超能造梦购物城,,,,,https://shop337109197.taobao.com,,,119.10,深圳,马丁靴女,,4.5,-7.89%,4.5,-8.16%,5.0分,100.00%,,,,,,,,,,
312,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao清珊销售店"，"点我对话"),清珊销售店,u[4196515342],,,,,https://shop435382900.taobao.com,,,261.60,深圳,马丁靴女,,4.14286,-13.91%,3.85714,-20.38%,3.71429分,-23.46%,,,,,,,,,,
313,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红麟天下1"，"点我对话"),红麟天下1,红藤阳光商贸,,,,,https://shop548250267.taobao.com,,,858.57,深圳,马丁靴女,,4.63866,-4.04%,4.70588,-3.16%,4.71186分,-3.11%,,,,,,,,,,
314,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao金堂登顶商贸"，"点我对话"),金堂登顶商贸,金堂登顶工厂店,,,,,https://shop380886341.taobao.com,,,681.23,深圳,马丁靴女,,4.5414,-7.05%,4.61783,-5.76%,4.73885分,-3.25%,,,,,,,,,,
315,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb949096_00"，"点我对话"),tb949096_00,d[s108741227],,,,,https://shop108741227.taobao.com,,,303.90,深圳,马丁靴女,,4.78313分,-1.05%,4.86747分,5.69%,4.92771分,47.19%,,,,,,,,,,
316,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao其珍贵囡囡"，"点我对话"),其珍贵囡囡,其珍贵囡囡,,,,,https://shop282495802.taobao.com,,,235.20,深圳,马丁靴女,,4.875,28.02%,4.625,-4.71%,4.75分,-2.16%,,,,,,,,,,
317,,零心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao陶吧商贸行"，"点我对话"),陶吧商贸行,陶吧商贸行,,,,,https://shop379505106.taobao.com,,,65.90,深圳,马丁靴女,,,,,,,,,,,,,,,,,
318,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao合美888"，"点我对话"),合美888,美美的大商铺,,,,,https://shop546412862.taobao.com,,,364.33,深圳,马丁靴女,,4.53659,-7.14%,4.60976,-5.92%,4.55分,-7.10%,,,,,,,,,,
319,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博润优货"，"点我对话"),博润优货,臻美之家,,,,,https://shop294991303.taobao.com,,,0,深圳,马丁靴女,,4.89474,43.62%,4.84211,0.10%,4.89474分,30.04%,,,,,,,,,,
320,,二心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao风潮集团小锋"，"点我对话"),风潮集团小锋,u[4057952333],,,,,https://shop221278020.taobao.com,,,910.76,深圳,马丁靴女,,,,,,,,,,,,,,,,,
321,,一心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao龙口市东莱汉让玩具经营部"，"点我对话"),龙口市东莱汉让玩具经营部,u[2200556091708],,,,,https://shop478786191.taobao.com,,,1055.80,深圳,马丁靴女,,4.14286,-13.60%,4.42857,-8.42%,4.42857分,-8.54%,,,,,,,,,,
322,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao祁东县狄缺百货店"，"点我对话"),祁东县狄缺百货店,u[4284320890],,,,,https://shop321330322.taobao.com,,,1008.22,深圳,马丁靴女,,4.64286,-3.54%,4.5,-7.11%,4.5分,-7.21%,,,,,,,,,,
323,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao林源新1号"，"点我对话"),林源新1号,u[3942855037],,,,,https://shop223728040.taobao.com,,,886.80,深圳,马丁靴女,,4.5,-6.92%,4.5,-7.40%,4.375分,-10.04%,,,,,,,,,,
324,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxjb88866"，"点我对话"),xjb88866,芳瑜正品直通车,,,,,https://shop62006684.taobao.com,,,71060.00,深圳,马丁靴女,,4.97368,87.16%,4.97368,84.00%,4.97368分,83.35%,,,,,,,,,,
325,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao魅力女人时装"，"点我对话"),魅力女人时装,魅力女士時裝,,,,,https://shop109137356.taobao.com,,,1199.00,深圳,马丁靴女,,4.25分,-11.37%,4.25分,-12.11%,4.25分,-12.22%,,,,,,,,,,
326,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao江玉燕7"，"点我对话"),江玉燕7,燕儿家7,,,,,https://shop125094217.taobao.com,,,794.80,深圳,马丁靴女,,4.73077分,-1.34%,4.80769分,-0.58%,4.80769分,-0.71%,,,,,,,,,,
327,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao李宏家家"，"点我对话"),李宏家家,栖米娜女人专柜,,,,,https://shop116275340.taobao.com,,,2087.00,深圳,马丁靴女,,4.16667分,-13.10%,4.16667分,-13.83%,4.16667分,-13.95%,,,,,,,,,,
328,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao维斯弟"，"点我对话"),维斯弟,维斯弟体验店,,,,,https://shop103050231.taobao.com,,,6563.00,深圳,马丁靴女,,4.90625分,54.27%,4.8125分,0.48%,4.78125分,-1.25%,,,,,,,,,,
329,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao利航互联折扣"，"点我对话"),利航互联折扣,u[2200537569416],,,,,https://shop379133158.taobao.com,,,2540.14,深圳,马丁靴女,,4.78846,-1.99%,4.75,-3.06%,4.78846分,-2.23%,,,,,,,,,,
330,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao123刘虹66"，"点我对话"),123刘虹66,怡欣百货商城,,,,,https://shop112984016.taobao.com,,,406.22,深圳,马丁靴女,,4.5分,-6.15%,4.56154分,-5.67%,4.58462分,-5.31%,,,,,,,,,,
331,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao退役军人精品小店"，"点我对话"),退役军人精品小店,退役军人精品小店,,,,,https://shop598649673.taobao.com,,,543.30,深圳,马丁靴女,,4.63551分,-3.33%,4.71963分,-2.40%,4.72897分,-2.34%,,,,,,,,,,
