编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
301,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobiyingxiaomeimei"，"点我对话"),biyingxiaomeimei,满堂花儿开,,,,,https://shop100410984.taobao.com,,,769.00,北京,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
302,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowuping20200388"，"点我对话"),wuping20200388,JOSHWU官方店,,,,,https://shop61835947.taobao.com,,,3207.60,北京,秋冬女装,,4.65333,-2.95%,4.65772,-3.68%,4.66443分,-3.67%,,,,,,,,,,
303,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao明鉴羽绒城888"，"点我对话"),明鉴羽绒城888,铸源直销体验馆,,,,,https://shop106484664.taobao.com,,,26711.10,北京,秋冬女装,,4.8512分,20.26%,4.88658分,26.98%,4.87929分,19.72%,,,,,,,,,,
304,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao扬扬20065"，"点我对话"),扬扬20065,扬扬上品折扣店,,,,,https://shop103236281.taobao.com,,,77521.50,北京,秋冬女装,,4.7743分,0.43%,4.80537分,-0.63%,4.8258分,0.34%,,,,,,,,,,
305,常熟法羽莱商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao洁百惠旗舰店"，"点我对话"),洁百惠旗舰店,洁百惠旗舰店,,,,,https://shop481277580.taobao.com,,,38861.43,北京,秋冬女装,,4.76119分,2.29%,4.64677分,3.82%,4.68358分,3.24%,,,,,,,,,,
306,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao旭东商贸2"，"点我对话"),旭东商贸2,d[s456068801],,,,,https://shop456068801.taobao.com,,,37689.10,北京,秋冬女装,,4.68305,-2.71%,4.71784,-2.62%,4.72557分,-2.56%,,,,,,,,,,
307,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao邢台母艺"，"点我对话"),邢台母艺,母艺玩具工厂,,,,,https://shop563419816.taobao.com,,,9518.52,北京,秋冬女装,,4.66079,-4.60%,4.72253,-3.62%,4.75037分,-3.01%,,,,,,,,,,
308,北京梦羽达服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鄂尔菲雪旗舰店"，"点我对话"),鄂尔菲雪旗舰店,鄂尔菲雪旗舰店,,,,,https://shop114248543.taobao.com,,,7541115.80,北京,秋冬女装,,4.86158分,0%,4.79575分,0.74%,4.84352分,1.93%,,,,,,,,,,
309,清河县蓝诗宝羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓝诗宝旗舰店"，"点我对话"),蓝诗宝旗舰店,蓝诗宝旗舰店,,,,,https://shop110991795.taobao.com,,,0,北京,秋冬女装,,4.95885分,67.64%,4.94353分,66.51%,4.95442分,71.44%,,,,,,,,,,
310,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao昊天服饰馆"，"点我对话"),昊天服饰馆,昊天服饰馆代购店,,,,,https://shop400208995.taobao.com,,,38381.08,北京,秋冬女装,,4.81644,10.41%,4.85753,13.33%,4.86301分,13.27%,,,,,,,,,,
311,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao燕e酷"，"点我对话"),燕e酷,妈妈依阁精品女装褀舰,,,,,https://shop101440422.taobao.com,,,11398.00,北京,秋冬女装,,4.77228分,0.47%,4.79208分,-0.90%,4.81188分,-0.62%,,,,,,,,,,
312,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博虎软件有限公司"，"点我对话"),博虎软件有限公司,JORSINA卓诗娜箱包品牌店,,,,,https://shop112585660.taobao.com,,,2752.90,北京,秋冬女装,,4.8,2.44%,4.85,8.81%,4.9分,36.74%,,,,,,,,,,
313,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao千禧51088"，"点我对话"),千禧51088,品依外贸,,,,,https://shop111660894.taobao.com,,,14342.00,北京,秋冬女装,,4.83333分,18.70%,4.875分,24.01%,4.875分,20.93%,,,,,,,,,,
314,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao圣心依依"，"点我对话"),圣心依依,法法的衣橱,,,,,https://shop71209503.taobao.com,,,10810.00,北京,秋冬女装,,4.60294分,-4.01%,4.67647分,-3.29%,4.70588分,-2.81%,,,,,,,,,,
315,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoboshi0425"，"点我对话"),boshi0425,上海丝仙服饰1,,18721042766,18721042766,,https://shop36029912.taobao.com,,,153962.00,北京,秋冬女装,,4.83219分,18.09%,4.86654分,18.81%,4.8999分,36.63%,,,,,,,,,,
316,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohujinsheng198624"，"点我对话"),hujinsheng198624,北京晋冠飞扬运动服,,010-5107678,13126728373,,https://shop36765149.taobao.com,,,981.00,北京,秋冬女装,,4.74257分,-1.74%,4.78713分,-1.37%,4.81683分,-0.78%,,,,,,,,,,
317,南宫市森美商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao樱娣旗舰店"，"点我对话"),樱娣旗舰店,樱娣旗舰店,,,,,https://shop408221914.taobao.com,,,1159414.00,北京,秋冬女装,,4.8789分,4.77%,4.79281分,0.80%,4.82214分,0%,,,,,,,,,,
318,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao万姿情美"，"点我对话"),万姿情美,夜小妖V妖风来袭,,,,,https://shop103802223.taobao.com,,,1274202.00,北京,秋冬女装,,4.93481,68.18%,4.96117,76.38%,4.98058分,87.70%,,,,,,,,,,
319,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogaotao1134"，"点我对话"),gaotao1134,爱情雪甜美女装,,,,,https://shop109313812.taobao.com,,,99391.00,北京,秋冬女装,,4.68958分,-2.20%,4.76632分,-1.43%,4.81672分,-0.52%,,,,,,,,,,
320,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao一诺千金_敏"，"点我对话"),一诺千金_敏,遇见绅士,,,,,https://shop116428667.taobao.com,,,5359.40,北京,秋冬女装,,4.72488分,-1.84%,4.75963分,-1.76%,4.7846分,-1.34%,,,,,,,,,,
321,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恋上雅衣"，"点我对话"),恋上雅衣,恋上雅居特卖,,,,,https://shop100230358.taobao.com,,,6954.40,北京,秋冬女装,,4.65391分,-2.94%,4.70335分,-2.74%,4.72836分,-2.35%,,,,,,,,,,
322,北京依璐相依服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宝怡妮旗舰店"，"点我对话"),宝怡妮旗舰店,宝怡妮旗舰店,,,,,https://shop105970950.taobao.com,,,1654642.00,北京,秋冬女装,,4.92771分,43.16%,4.87766分,27.42%,4.8823分,26.23%,,,,,,,,,,
323,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao漂亮女人世界_2008"，"点我对话"),漂亮女人世界_2008,幸福街1号铺,,,,,https://shop57085470.taobao.com,,,1444.08,北京,秋冬女装,,4.59006分,-4.64%,4.58385分,-5.38%,4.64596分,-4.20%,,,,,,,,,,
324,东莞市茵娅可贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沃萨克旗舰店"，"点我对话"),沃萨克旗舰店,沃萨克旗舰店,,,,,https://shop233581175.taobao.com,,,407269.80,北京,秋冬女装,,4.88653分,10.77%,4.87381分,25.15%,4.88335分,26.91%,,,,,,,,,,
325,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao忘了他是谁94792858"，"点我对话"),忘了他是谁94792858,xxy旗帜店,,,,,https://shop451135277.taobao.com,,,4504.22,北京,秋冬女装,,4.78689分,-2.02%,4.81061分,-1.82%,4.8008分,-1.98%,,,,,,,,,,
326,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小小怪122"，"点我对话"),小小怪122,佳丽服饰总营店,,,,,https://shop106053231.taobao.com,,,620.80,北京,秋冬女装,,4.81818,11.31%,5.0,100.00%,4.81818分,0.49%,,,,,,,,,,
327,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomaria20129"，"点我对话"),maria20129,爱丽丝梦游仙境时尚馆,,,,,https://shop70208941.taobao.com,,,0,北京,秋冬女装,,4.76101,-0.71%,4.80217,-0.69%,4.84682分,3.11%,,,,,,,,,,
328,苏州柏盛之家商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolliibbaa莉帛旗舰"，"点我对话"),lliibbaa莉帛旗舰,lliibbaa莉帛旗舰,,,,,https://shop383211755.taobao.com,,,126339.10,北京,秋冬女装,,4.76113分,2.29%,4.67101分,3.32%,4.7215分,2.46%,,,,,,,,,,
329,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao18218982317zxf"，"点我对话"),18218982317zxf,Zhang 时尚,,,,,https://shop525807615.taobao.com,,,303896.00,北京,秋冬女装,,4.79084分,0.10%,4.83068分,0.10%,4.84263分,0.37%,,,,,,,,,,
330,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天骄一生水"，"点我对话"),天骄一生水,天娇一生水大码女装,,,,,https://shop71536396.taobao.com,,,13565.00,北京,秋冬女装,,4.92129分,61.61%,4.92786分,56.15%,4.94279分,63.81%,,,,,,,,,,
331,常熟卡酷鲨服饰贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao唐薇妮旗舰店"，"点我对话"),唐薇妮旗舰店,唐薇妮旗舰店,,,,,https://shop557766770.taobao.com,,,40580.21,北京,秋冬女装,,4.82169分,1.05%,4.76136分,1.45%,4.77577分,1.34%,,,,,,,,,,
332,帝柔国际服饰（北京）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao帝柔北京专卖店"，"点我对话"),帝柔北京专卖店,帝柔北京专卖店,,,,,https://shop67408436.taobao.com,,,0,北京,秋冬女装,,4.87862分,4.55%,4.86069分,17.37%,4.88414分,27.41%,,,,,,,,,,
333,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao土豆55667"，"点我对话"),土豆55667,豆豆优惠店,,,,,https://shop245245181.taobao.com,,,7508.21,北京,秋冬女装,,4.60648,-3.93%,4.66999,-3.43%,4.70548分,-2.82%,,,,,,,,,,
334,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao赵艾儿"，"点我对话"),赵艾儿,200 300斤大码服饰,,,,,https://shop59818597.taobao.com,,,8681.00,北京,秋冬女装,,4.81633分,10.35%,4.82908分,0.14%,4.84949分,4.71%,,,,,,,,,,
335,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao珍爱精品店"，"点我对话"),珍爱精品店,珍爱德财,,,,,https://shop467117109.taobao.com,,,2434.29,北京,秋冬女装,,4.62573,-3.90%,4.65692,-3.87%,4.68876分,-3.32%,,,,,,,,,,
336,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaochina潮牌"，"点我对话"),china潮牌,潮港港purchase,,,,,https://shop244757188.taobao.com,,,0,北京,秋冬女装,,4.51282,-5.88%,4.82051,0.31%,4.82051分,0.44%,,,,,,,,,,
337,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao马芸潮牌"，"点我对话"),马芸潮牌,小马香港it代购,,,,,https://shop288951967.taobao.com,,,0,北京,秋冬女装,,4.6,-4.07%,4.55,-5.91%,4.55分,-6.03%,,,,,,,,,,
338,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohuanghuiqin0187"，"点我对话"),huanghuiqin0187,弄堂里妈妈服装店,,,,,https://shop62050208.taobao.com,,,37670.00,北京,秋冬女装,,4.79878分,1.85%,4.83359分,0.10%,4.85982分,11.33%,,,,,,,,,,
339,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao摩登馨"，"点我对话"),摩登馨,秋日の暖阳,,,,,https://shop192278413.taobao.com,,,1569.12,北京,秋冬女装,,4.74214,-1.48%,4.77044,-1.53%,4.84013分,0.20%,,,,,,,,,,
340,常熟杰酷商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao锦红颜旗舰店"，"点我对话"),锦红颜旗舰店,锦红颜旗舰店,,,,,https://shop483035399.taobao.com,,,0,北京,秋冬女装,,4.8459分,0.55%,4.73947分,1.90%,4.76631分,1.53%,,,,,,,,,,
341,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao手握幸福99"，"点我对话"),手握幸福99,胖妈靓衣,,,,,https://shop100290782.taobao.com,,,474.00,上海,秋冬女装,,4.91304分,57.58%,4.86957分,20.71%,4.86957分,17.50%,,,,,,,,,,
342,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyuanyingfang0527"，"点我对话"),yuanyingfang0527,雅美Yami服饰,,,,,https://shop109622611.taobao.com,,,2772.00,上海,秋冬女装,,4.72727分,-1.41%,4.90909分,44.74%,4.90909分,42.49%,,,,,,,,,,
343,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao百货采购商店"，"点我对话"),百货采购商店,u[3604334366],,,,,https://shop495552097.taobao.com,,,3266.56,上海,秋冬女装,,4.64604,-3.48%,4.71617,-2.65%,4.72772分,-2.51%,,,,,,,,,,
344,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绒都衣阁"，"点我对话"),绒都衣阁,高端羊绒私人专属,,,,,https://shop106202999.taobao.com,,,176999.00,上海,秋冬女装,,4.80831分,6.44%,4.85647分,12.68%,4.86119分,12.12%,,,,,,,,,,
345,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao粑粑潮店"，"点我对话"),粑粑潮店,粑粑家香港代购,,,,,https://shop320403386.taobao.com,,,0,上海,秋冬女装,,4.66667,-2.68%,4.66667,-3.49%,4.66667分,-3.62%,,,,,,,,,,
346,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦溪女装"，"点我对话"),梦溪女装,梦溪女装小铺,,,,,https://shop162927251.taobao.com,,,98795.00,上海,秋冬女装,,4.79857分,1.75%,4.82817分,0.15%,4.84458分,1.69%,,,,,,,,,,
347,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolanghuan0806"，"点我对话"),langhuan0806,嬛嬛女装店,,,,,https://shop60133649.taobao.com,,,53273.00,上海,秋冬女装,,4.81647分,10.42%,4.86588分,18.41%,4.87059分,18.07%,,,,,,,,,,
348,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艺扬电子网销店"，"点我对话"),艺扬电子网销店,艺扬优质电器店,,,,,https://shop137010748.taobao.com,,,2028.94,上海,秋冬女装,,4.77137分,-2.34%,4.8005分,-2.03%,4.80577分,-1.88%,,,,,,,,,,
349,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宝贝我们是一家人"，"点我对话"),宝贝我们是一家人,爱宝一件批发,,,,,https://shop136706742.taobao.com,,,2392.00,上海,秋冬女装,,4.725分,-1.46%,4.7875分,-0.99%,4.8125分,-0.61%,,,,,,,,,,
350,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao似曾相识198308"，"点我对话"),似曾相识198308,诗懿大码女装,13506288517,,,,https://shop70524222.taobao.com,,,2522.60,上海,秋冬女装,,4.76923分,-0.54%,4.82051分,0.31%,4.83794分,0.10%,,,,,,,,,,
351,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao忆明月品牌店"，"点我对话"),忆明月品牌店,忆明月品牌店,,,,,https://shop484885597.taobao.com,,,2433.58,上海,秋冬女装,,4.32051,-9.90%,4.5641,-5.61%,4.5641分,-5.74%,,,,,,,,,,
352,北京龙寨宜国际贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojseabel旗舰店"，"点我对话"),jseabel旗舰店,jseabel旗舰店,,,,,https://shop109688542.taobao.com,,,1736455.00,上海,秋冬女装,,4.96328分,71.13%,4.95054分,70.66%,4.95003分,68.69%,,,,,,,,,,
353,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao百度淘淘吧8"，"点我对话"),百度淘淘吧8,魅力夕阳中老年妈妈装,,15210781974,,,https://shop64356884.taobao.com,,,0,上海,秋冬女装,,4.70408分,-1.90%,4.79592分,-0.82%,4.79184分,-1.03%,,,,,,,,,,
354,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao海xin魅"，"点我对话"),海xin魅,海魅百货店,,,,,https://shop108684566.taobao.com,,,5180.73,上海,秋冬女装,,4.71042,-2.12%,4.75542,-1.83%,4.77667分,-1.57%,,,,,,,,,,
355,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao伊甸园134340"，"点我对话"),伊甸园134340,伊甸园企业店,,,,,https://shop294890168.taobao.com,,,7831.51,上海,秋冬女装,,4.56585,-5.12%,4.58537,-5.34%,4.64146分,-4.36%,,,,,,,,,,
356,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoren服饰专柜99"，"点我对话"),ren服饰专柜99,儫俪中年女装店,,18801223828,,,https://shop60732460.taobao.com,,,8552.00,上海,秋冬女装,,4.85106分,27.35%,4.87234分,22.40%,4.87234分,19.25%,,,,,,,,,,
357,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyaxiu2074"，"点我对话"),yaxiu2074,DKY精品女装印象馆,,,,,https://shop36523087.taobao.com,,,1500.00,上海,秋冬女装,,4.57143分,-4.66%,4.57143分,-5.46%,4.85714分,9.63%,,,,,,,,,,
358,北京义博服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧莎朵旗舰店"，"点我对话"),欧莎朵旗舰店,欧莎朵旗舰店,,,,,https://shop111844064.taobao.com,,,0.00,上海,秋冬女装,,4.88889分,12.63%,4.86772分,21.54%,4.93651分,60.22%,,,,,,,,,,
359,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao特卖品牌一号店"，"点我对话"),特卖品牌一号店,品牌折扣特卖一号店,,,,,https://shop328056808.taobao.com,,,996.00,上海,秋冬女装,,4.66667分,-2.68%,4.66667分,-3.49%,4.66667分,-3.62%,,,,,,,,,,
360,北京溪漫伟业服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao西溪漫步旗舰店"，"点我对话"),西溪漫步旗舰店,西溪漫步旗舰店,18815077876,,,,https://shop64568995.taobao.com,,,545842.00,上海,秋冬女装,,4.9211分,37.97%,4.86537分,20.13%,4.87915分,24.26%,,,,,,,,,,
361,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao龙创精品店"，"点我对话"),龙创精品店,d[s208930835],,,,,https://shop208930835.taobao.com,,,1725.02,上海,秋冬女装,,4.68987,-2.56%,4.73418,-2.28%,4.77532分,-1.53%,,,,,,,,,,
362,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao炫颖衣店"，"点我对话"),炫颖衣店,炫颖高端羊绒工厂店,,,15803292755,,https://shop101712984.taobao.com,,,0,上海,秋冬女装,,4.70874,-1.80%,4.76699,-1.42%,4.8835分,26.31%,,,,,,,,,,
363,济南宇浓电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao名雅妈咪旗舰店"，"点我对话"),名雅妈咪旗舰店,名雅妈咪旗舰店,,,,,https://shop159501433.taobao.com,,,552745.00,上海,秋冬女装,,4.85873分,0%,4.75346分,1.61%,4.74792分,1.91%,,,,,,,,,,
364,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘻嘻精品小屋"，"点我对话"),嘻嘻精品小屋,喜芸潮坊,,,,,https://shop298388228.taobao.com,,,2863.13,上海,秋冬女装,,4.70505,-2.51%,4.72319,-2.69%,4.75612分,-2.03%,,,,,,,,,,
365,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao倾香茉莉"，"点我对话"),倾香茉莉,棉麻世家--棉麻艺术家,,,,,https://shop59360658.taobao.com,,,22550.00,上海,秋冬女装,,4.79206分,0.10%,4.83039分,0.11%,4.86066分,11.86%,,,,,,,,,,
366,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb159518_2013"，"点我对话"),tb159518_2013,Tse家直销店,,,,,https://shop115373953.taobao.com,,,4695.55,上海,秋冬女装,,4.63721分,-3.66%,4.66589分,-3.69%,4.66821分,-3.74%,,,,,,,,,,
367,深圳百诗琪商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恩颂旗舰店"，"点我对话"),恩颂旗舰店,恩颂旗舰店,,,,,https://shop452507033.taobao.com,,,73476.00,上海,秋冬女装,,4.8695分,0%,4.81357分,0%,4.8405分,0%,,,,,,,,,,
368,北京昌晟璟程商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao昌晟璟程服饰专营店"，"点我对话"),昌晟璟程服饰专营店,昌晟璟程服饰专营店,,,,,https://shop105755830.taobao.com,,,2935437.20,上海,秋冬女装,,4.87678分,3.11%,4.8分,0.65%,4.8455分,3.20%,,,,,,,,,,
369,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao另类688"，"点我对话"),另类688,爱生活 爱妈妈,,,,,https://shop62163521.taobao.com,,,6600.00,上海,秋冬女装,,4.77778分,0.36%,4.90278分,40.90%,4.91667分,47.29%,,,,,,,,,,
370,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao李鑫淼777"，"点我对话"),李鑫淼777,衣衣阁商城,18910404246,,,,https://shop65195539.taobao.com,,,0.00,上海,秋冬女装,,4.81034分,7.49%,4.83836分,1.74%,4.86422分,14.11%,,,,,,,,,,
371,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao王全春95736"，"点我对话"),王全春95736,红艳精品服饰 TB,,,,,https://shop67617349.taobao.com,,,2171.00,上海,秋冬女装,,3.85714分,-19.56%,3.85714分,-20.23%,3.85714分,-20.34%,,,,,,,,,,
372,清河县奥丝羊绒有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao硕元祥旗舰"，"点我对话"),硕元祥旗舰,硕元祥旗舰,,,,,https://shop568093461.taobao.com,,,13811.00,上海,秋冬女装,,5.0分,100%,5.0分,100%,5.0分,100%,,,,,,,,,,
373,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao新时代电子商贸"，"点我对话"),新时代电子商贸,淘依坊精品服饰,,,,,https://shop117176772.taobao.com,,,3720.60,上海,秋冬女装,,4.73885分,-1.17%,4.80573分,-0.62%,4.79233分,-1.03%,,,,,,,,,,
374,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao气若幽兰720"，"点我对话"),气若幽兰720,得衣非凡时装店,,,,,https://shop151206702.taobao.com,,,86772.00,上海,秋冬女装,,4.84363分,23.73%,4.85714分,13.16%,4.86293分,13.30%,,,,,,,,,,
375,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao加雨百货门市部666226696"，"点我对话"),加雨百货门市部666226696,d[s192565798],,,,,https://shop192565798.taobao.com,,,424.60,上海,秋冬女装,,4.56731,-5.11%,4.60577,-4.93%,4.71154分,-2.85%,,,,,,,,,,
376,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao京东雨轩良品"，"点我对话"),京东雨轩良品,靓妈服饰8785,,,,,https://shop73224656.taobao.com,,,4158.00,上海,秋冬女装,,4.83784分,20.90%,4.87838分,26.07%,4.89189分,31.61%,,,,,,,,,,
377,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao元芳988"，"点我对话"),元芳988,伊森服饰店,,,,,https://shop115453925.taobao.com,,,206.00,上海,秋冬女装,,4.46154分,-6.95%,4.61538分,-4.55%,4.61538分,-4.68%,,,,,,,,,,
378,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao合就来家具生活馆"，"点我对话"),合就来家具生活馆,合就来家居生活馆,,,,,https://shop116982176.taobao.com,,,3834.87,上海,秋冬女装,,4.6338分,-3.36%,4.69014分,-3.01%,4.723分,-2.46%,,,,,,,,,,
379,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoymengxzyq"，"点我对话"),ymengxzyq,米朵家居杂货,,,,,https://shop129877857.taobao.com,,,9823.70,上海,秋冬女装,,4.64545分,-3.49%,4.68817分,-3.23%,4.71394分,-2.80%,,,,,,,,,,
380,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao荀彧字文若1"，"点我对话"),荀彧字文若1,小蚂蚁F,,,,,https://shop171024970.taobao.com,,,3341.68,上海,秋冬女装,,4.60355,-5.78%,4.63447,-5.42%,4.73493分,-3.33%,,,,,,,,,,
381,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao不去游泳的鱼"，"点我对话"),不去游泳的鱼,不去游泳的鱼,13435208585,,,,https://shop34536853.taobao.com,,,0,上海,秋冬女装,,4.23103分,-11.71%,4.41897分,-8.57%,4.55345分,-5.83%,,,,,,,,,,
382,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雅姿淑女坊"，"点我对话"),雅姿淑女坊,优迪蔓服饰,,,,,https://shop110849776.taobao.com,,,0.00,上海,秋冬女装,,4.3871分,-8.51%,4.51613分,-6.60%,4.41935分,-8.73%,,,,,,,,,,
383,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao棉质麦素"，"点我对话"),棉质麦素,麻棉之风,,,,,https://shop112794761.taobao.com,,,309.67,上海,秋冬女装,,4.88333,43.09%,4.91667,49.34%,4.91667分,47.29%,,,,,,,,,,
384,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotaobaolinafengha"，"点我对话"),taobaolinafengha,d[s106460596],,,,,https://shop106460596.taobao.com,,,1469.65,上海,秋冬女装,,4.69697分,-2.42%,4.81818分,-0.55%,4.89899分,32.86%,,,,,,,,,,
385,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao购物开心哦哈哈哈"，"点我对话"),购物开心哦哈哈哈,燕燕九年老店,,,,,https://shop384159341.taobao.com,,,6579.82,上海,秋冬女装,,4.57012分,-4.69%,4.62195分,-4.42%,4.66159分,-3.73%,,,,,,,,,,
386,郑州市俏兹服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao俏兹旗舰店"，"点我对话"),俏兹旗舰店,俏兹旗舰店,,,,,https://shop320268334.taobao.com,,,0,上海,秋冬女装,,4.94985分,60.57%,4.93189分,59.60%,4.92889分,55.43%,,,,,,,,,,
387,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb39813131"，"点我对话"),tb39813131,原来是正品店,,,,,https://shop294126968.taobao.com,,,0,上海,秋冬女装,,4.63557分,-3.33%,4.69971分,-2.81%,4.7172分,-2.58%,,,,,,,,,,
388,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao百业时尚美都"，"点我对话"),百业时尚美都,淘淘狗家居生活馆,,,,,https://shop105330387.taobao.com,,,5226.83,上海,秋冬女装,,4.69978分,-2.85%,4.74288分,-2.52%,4.74653分,-2.49%,,,,,,,,,,
389,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao李楷斌88"，"点我对话"),李楷斌88,d[s105871807],,,,,https://shop105871807.taobao.com,,,2060.20,上海,秋冬女装,,4.70009分,-3.80%,4.74954分,-3.07%,4.77164分,-2.58%,,,,,,,,,,
390,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxiaolinziwm"，"点我对话"),xiaolinziwm,惠惠生活折扣店,,,,,https://shop60773634.taobao.com,,,6794.61,上海,秋冬女装,,4.59898分,-4.38%,4.67513分,-3.36%,4.70051分,-2.87%,,,,,,,,,,
